"Time (UTC)","Sensor output (cm)","Quality parameter","Temperature (°C)","Corrected distance (cm)","Snow height (cm)"
"2019-12-27 12:10:09","112.47 ± 1.00","189.33","-24.0","107.41 ± 1.00","94.39 ± 1.00"
"2019-12-27 00:10:09","113.97 ± 1.00","183.67","-26.3","108.34 ± 1.00","93.46 ± 1.00"
"2019-12-26 12:10:09","113.90 ± 1.00","187.33","-26.5","108.23 ± 1.00","93.57 ± 1.00"
"2019-12-26 00:10:10","113.83 ± 1.00","186.33","-26.3","108.21 ± 1.00","93.59 ± 1.00"
"2019-12-25 12:10:09","113.63 ± 1.00","186.67","-25.3","108.24 ± 1.00","93.56 ± 1.00"
"2019-12-25 00:10:09","113.10 ± 1.00","185.67","-25.7","107.65 ± 1.00","94.15 ± 1.00"
"2019-12-24 12:10:10","114.27 ± 1.00","212.33","-25.5","108.80 ± 1.00","93.00 ± 1.00"
"2019-12-24 00:10:09","113.43 ± 1.00","174.67","-25.6","107.99 ± 1.00","93.81 ± 1.00"
"2019-12-23 12:10:09","114.00 ± 1.00","177.33","-26.2","108.39 ± 1.00","93.41 ± 1.00"
"2019-12-23 00:10:09","113.33 ± 1.00","183.33","-24.8","108.07 ± 1.00","93.73 ± 1.00"
"2019-12-22 12:10:10","113.70 ± 1.00","187.00","-26.0","108.15 ± 1.00","93.65 ± 1.00"
"2019-12-22 00:10:09","113.40 ± 1.00","176.67","-23.8","108.35 ± 1.00","93.45 ± 1.00"
"2019-12-21 12:10:09","111.77 ± 1.00","233.00","-22.7","107.02 ± 1.00","94.78 ± 1.00"
"2019-12-21 00:10:10","112.70 ± 1.00","171.33","-24.3","107.57 ± 1.00","94.23 ± 1.00"
"2019-12-20 12:10:09","112.80 ± 1.00","177.33","-24.8","107.56 ± 1.00","94.24 ± 1.00"
"2019-12-20 00:10:09","111.60 ± 1.00","172.00","-26.9","105.96 ± 1.00","95.84 ± 1.00"
"2019-12-19 12:10:10","112.23 ± 1.00","168.00","-29.2","106.06 ± 1.00","95.74 ± 1.00"
"2019-12-19 00:10:10","111.80 ± 1.00","179.67","-28.0","105.91 ± 1.00","95.89 ± 1.00"
"2019-12-18 12:10:09","111.50 ± 1.00","169.33","-25.9","106.08 ± 1.00","95.72 ± 1.00"
"2019-12-18 00:10:09","111.43 ± 1.00","170.67","-26.3","105.93 ± 1.00","95.87 ± 1.00"
"2019-12-17 12:10:09","111.53 ± 1.00","169.00","-26.2","106.05 ± 1.00","95.75 ± 1.00"
"2019-12-17 00:10:09","111.83 ± 1.00","176.33","-28.4","105.86 ± 1.00","95.94 ± 1.00"
"2019-12-16 12:10:10","111.57 ± 1.00","174.33","-26.6","106.00 ± 1.00","95.80 ± 1.00"
"2019-12-16 00:10:10","111.40 ± 1.00","168.67","-26.5","105.86 ± 1.00","95.94 ± 1.00"
"2019-12-15 12:10:09","110.70 ± 1.00","169.33","-23.7","105.79 ± 1.00","96.01 ± 1.00"
"2019-12-15 00:10:09","110.60 ± 1.00","189.00","-22.6","105.93 ± 1.00","95.87 ± 1.00"
"2019-12-14 12:10:10","111.80 ± 1.00","168.00","-28.1","105.89 ± 1.00","95.91 ± 1.00"
"2019-12-14 00:10:09","110.90 ± 1.00","168.33","-23.8","105.96 ± 1.00","95.84 ± 1.00"
"2019-12-13 12:10:09","110.40 ± 1.00","169.00","-22.2","105.82 ± 1.00","95.98 ± 1.00"
"2019-12-13 00:10:09","110.30 ± 1.00","168.67","-22.6","105.64 ± 1.00","96.16 ± 1.00"
"2019-12-12 12:10:10","110.27 ± 1.00","168.67","-22.4","105.65 ± 1.00","96.15 ± 1.00"
"2019-12-12 00:10:10","109.90 ± 1.00","168.67","-20.9","105.61 ± 1.00","96.19 ± 1.00"
"2019-12-11 12:10:09","110.70 ± 1.00","169.00","-23.6","105.81 ± 1.00","95.99 ± 1.00"
"2019-12-11 00:10:09","110.90 ± 1.00","168.33","-25.5","105.60 ± 1.00","96.20 ± 1.00"
"2019-12-10 12:10:10","110.80 ± 1.00","169.33","-23.1","106.01 ± 1.00","95.79 ± 1.00"
"2019-12-10 00:10:10","110.13 ± 1.00","290.00","-22.9","105.42 ± 1.00","96.38 ± 1.00"
"2019-12-09 12:10:09","111.57 ± 1.00","219.00","-24.2","106.51 ± 1.00","95.29 ± 1.00"
"2019-12-09 00:10:09","111.03 ± 1.00","251.67","-24.3","105.98 ± 1.00","95.82 ± 1.00"
"2019-12-08 12:10:09","111.33 ± 1.00","241.00","-24.3","106.27 ± 1.00","95.53 ± 1.00"
"2019-12-08 00:10:10","111.00 ± 1.00","284.67","-25.4","105.71 ± 1.00","96.09 ± 1.00"
"2019-12-07 12:10:09","111.27 ± 1.00","293.00","-25.5","105.95 ± 1.00","95.85 ± 1.00"
"2019-12-06 12:10:09","111.67 ± 1.00","286.33","-24.8","106.48 ± 1.00","95.32 ± 1.00"
"2019-12-06 00:10:10","113.10 ± 1.00","265.00","-27.4","107.28 ± 1.00","94.52 ± 1.00"
"2019-12-05 12:10:10","113.77 ± 1.00","239.33","-27.7","107.84 ± 1.00","93.96 ± 1.00"
"2019-12-05 00:10:09","113.37 ± 1.00","237.33","-27.0","107.62 ± 1.00","94.18 ± 1.00"
"2019-12-04 12:10:09","114.23 ± 1.00","239.00","-28.9","108.02 ± 1.00","93.78 ± 1.00"
"2019-12-02 00:10:09","113.93 ± 1.00","182.67","-27.7","108.00 ± 1.00","93.80 ± 1.00"
"2019-12-01 12:10:09","114.03 ± 1.00","177.33","-27.9","108.05 ± 1.00","93.75 ± 1.00"
"2019-12-01 00:10:09","113.30 ± 1.00","183.00","-28.7","107.18 ± 1.00","94.62 ± 1.00"
"2019-11-30 12:10:09","113.63 ± 1.00","181.33","-30.1","107.19 ± 1.00","94.61 ± 1.00"
"2019-11-30 00:10:10","114.23 ± 1.00","181.00","-32.7","107.18 ± 1.00","94.62 ± 1.00"
"2019-11-29 12:10:10","113.97 ± 1.00","185.00","-31.6","107.17 ± 1.00","94.63 ± 1.00"
"2019-11-29 00:10:09","113.17 ± 1.00","188.00","-28.9","107.01 ± 1.00","94.79 ± 1.00"
"2019-11-28 12:10:09","113.80 ± 1.00","185.33","-32.4","106.84 ± 1.00","94.96 ± 1.00"
"2019-11-28 00:10:09","114.37 ± 1.00","186.33","-33.9","107.03 ± 1.00","94.77 ± 1.00"
"2019-11-27 12:10:10","114.57 ± 1.00","187.00","-34.4","107.11 ± 1.00","94.69 ± 1.00"
"2019-11-27 00:10:09","114.27 ± 1.00","187.00","-33.8","106.96 ± 1.00","94.84 ± 1.00"
"2019-11-26 12:10:09","114.37 ± 1.00","189.00","-33.2","107.19 ± 1.00","94.61 ± 1.00"
"2019-11-26 00:10:09","113.57 ± 1.00","191.00","-31.6","106.80 ± 1.00","95.00 ± 1.00"
"2019-11-25 12:10:09","113.07 ± 1.00","196.67","-30.2","106.63 ± 1.00","95.17 ± 1.00"
"2019-11-25 00:10:10","114.57 ± 1.00","176.00","-31.6","107.74 ± 1.00","94.06 ± 1.00"
"2019-11-24 12:10:10","114.63 ± 1.00","181.00","-31.3","107.87 ± 1.00","93.93 ± 1.00"
"2019-11-24 00:10:09","114.80 ± 1.00","181.33","-31.4","108.00 ± 1.00","93.80 ± 1.00"
"2019-11-23 12:10:09","114.77 ± 1.00","176.67","-32.1","107.81 ± 1.00","93.99 ± 1.00"
"2019-11-23 00:10:09","114.53 ± 1.00","185.67","-31.4","107.75 ± 1.00","94.05 ± 1.00"
"2019-11-22 12:10:10","114.60 ± 1.00","183.67","-31.3","107.83 ± 1.00","93.97 ± 1.00"
"2019-11-22 00:10:10","114.60 ± 1.00","186.33","-31.7","107.75 ± 1.00","94.05 ± 1.00"
"2019-11-21 12:10:09","113.60 ± 1.00","181.67","-27.9","107.64 ± 1.00","94.16 ± 1.00"
"2019-11-21 00:10:09","114.00 ± 1.00","187.33","-30.9","107.36 ± 1.00","94.44 ± 1.00"
"2019-11-20 12:10:09","114.10 ± 1.00","185.67","-31.2","107.39 ± 1.00","94.41 ± 1.00"
"2019-11-20 00:10:10","114.10 ± 1.00","183.67","-30.6","107.52 ± 1.00","94.28 ± 1.00"
"2019-11-19 12:10:10","114.43 ± 1.00","181.33","-32.5","107.41 ± 1.00","94.39 ± 1.00"
"2019-11-19 00:10:10","114.77 ± 1.00","181.00","-34.2","107.34 ± 1.00","94.46 ± 1.00"
"2019-11-18 12:10:09","115.03 ± 1.00","184.67","-35.0","107.41 ± 1.00","94.39 ± 1.00"
"2019-11-18 00:10:09","114.70 ± 1.00","183.00","-33.9","107.35 ± 1.00","94.45 ± 1.00"
"2019-11-17 12:10:09","114.53 ± 1.00","176.67","-33.1","107.37 ± 1.00","94.43 ± 1.00"
"2019-11-17 00:10:10","113.83 ± 1.00","188.00","-31.1","107.16 ± 1.00","94.64 ± 1.00"
"2019-11-16 12:10:10","114.20 ± 1.00","184.33","-32.2","107.26 ± 1.00","94.54 ± 1.00"
"2019-11-16 00:10:09","113.70 ± 1.00","187.00","-30.6","107.14 ± 1.00","94.66 ± 1.00"
"2019-11-15 12:10:09","114.50 ± 1.00","186.67","-33.2","107.32 ± 1.00","94.48 ± 1.00"
"2019-11-15 00:10:09","114.27 ± 1.00","186.33","-32.8","107.19 ± 1.00","94.61 ± 1.00"
"2019-11-14 12:10:10","113.97 ± 1.00","184.67","-31.5","107.19 ± 1.00","94.61 ± 1.00"
"2019-11-14 00:10:09","115.20 ± 1.00","207.33","-36.9","107.14 ± 1.00","94.66 ± 1.00"
"2019-11-13 12:10:09","115.30 ± 1.00","185.67","-37.2","107.16 ± 1.00","94.64 ± 1.00"
"2019-11-13 00:10:10","116.07 ± 1.00","188.00","-40.2","107.19 ± 1.00","94.61 ± 1.00"
"2019-11-12 12:10:10","115.10 ± 1.00","190.67","-35.3","107.41 ± 1.00","94.39 ± 1.00"
"2019-11-12 00:10:09","114.53 ± 1.00","181.33","-35.1","106.92 ± 1.00","94.88 ± 1.00"
"2019-11-11 12:10:09","115.60 ± 1.00","183.33","-38.0","107.26 ± 1.00","94.54 ± 1.00"
"2019-11-11 00:10:09","115.20 ± 1.00","180.33","-37.4","107.02 ± 1.00","94.78 ± 1.00"
"2019-11-10 12:10:10","115.40 ± 1.00","187.33","-37.0","107.30 ± 1.00","94.50 ± 1.00"
"2019-11-10 00:10:10","115.77 ± 1.00","177.00","-39.8","107.00 ± 1.00","94.80 ± 1.00"
"2019-11-09 12:10:09","115.50 ± 1.00","173.33","-38.0","107.17 ± 1.00","94.63 ± 1.00"
"2019-11-09 00:10:09","115.17 ± 1.00","186.33","-36.8","107.13 ± 1.00","94.67 ± 1.00"
"2019-11-08 12:10:10","115.50 ± 1.00","178.67","-37.9","107.19 ± 1.00","94.61 ± 1.00"
"2019-11-08 00:10:09","115.30 ± 1.00","174.33","-36.9","107.23 ± 1.00","94.57 ± 1.00"
"2019-11-07 12:10:09","115.13 ± 1.00","181.00","-35.7","107.35 ± 1.00","94.45 ± 1.00"
"2019-11-07 00:10:09","115.60 ± 1.00","182.67","-38.8","107.08 ± 1.00","94.72 ± 1.00"
"2019-11-06 12:10:10","116.73 ± 1.00","186.33","-42.3","107.31 ± 1.00","94.49 ± 1.00"
"2019-11-06 00:10:09","116.50 ± 1.00","185.00","-42.0","107.17 ± 1.00","94.63 ± 1.00"
"2019-11-05 12:10:09","116.50 ± 1.00","186.67","-41.0","107.40 ± 1.00","94.40 ± 1.00"
"2019-11-05 00:10:10","116.60 ± 1.00","183.67","-42.1","107.24 ± 1.00","94.56 ± 1.00"
"2019-11-04 12:10:10","116.50 ± 1.00","185.67","-41.3","107.33 ± 1.00","94.47 ± 1.00"
"2019-11-04 00:10:09","116.30 ± 1.00","183.33","-41.2","107.17 ± 1.00","94.63 ± 1.00"
"2019-11-03 12:10:09","116.33 ± 1.00","186.33","-41.1","107.22 ± 1.00","94.58 ± 1.00"
"2019-11-03 00:10:10","115.67 ± 1.00","186.33","-38.7","107.16 ± 1.00","94.64 ± 1.00"
"2019-11-02 12:10:09","116.80 ± 1.00","173.33","-42.7","107.28 ± 1.00","94.52 ± 1.00"
"2019-11-02 00:10:10","116.07 ± 1.00","177.33","-40.7","107.07 ± 1.00","94.73 ± 1.00"
